Year,Gender,Age_Group,Number_of_Outgoing_People
2026,1,8,933855.8997
2026,1,9,615025.1471
2027,0,1,417829.7905
2027,0,10,685845.4593
2027,0,11,613938.0685
2027,0,12,581192.907
2027,0,13,359871.9886
2027,0,14,241490.6549
2027,0,15,248052.2219
2027,0,16,217764.7845
2027,0,17,243193.3208
2027,0,18,489982.2091
2027,0,2,568856.8998
2027,0,3,340068.3943
2027,0,4,443213.6184
2027,0,5,965957.3017
2027,0,6,1261084.875
2027,0,7,1270244.738
2027,0,8,971795.4747
2027,0,9,668536.874
2027,1,1,395342.121
2027,1,10,599746.5164
2027,1,11,521026.5232
2027,1,12,488884.1751
2027,1,13,305132.8228
2027,1,14,220290.0647
2027,1,15,253588.4598
2027,1,16,292640.7577
2027,1,17,435356.4377
2027,1,18,1426150.783
2027,1,2,542764.6073
2027,1,3,326567.1789
2027,1,4,396147.6604
2027,1,5,940632.882
2027,1,6,1286606.103
2027,1,7,1284006.989
2027,1,8,933855.8997
2027,1,9,615025.1471
2028,0,1,417829.7905
2028,0,10,685845.4593
2028,0,11,613938.0685
2028,0,12,581192.907
2028,0,13,359871.9886
2028,0,14,241490.6549
2028,0,15,248052.2219
2028,0,16,217764.7845
2028,0,17,243193.3208
2028,0,18,489982.2091
2028,0,2,568856.8998
2028,0,3,340068.3943
2028,0,4,443213.6184
2028,0,5,965957.3017
2028,0,6,1261084.875
2028,0,7,1270244.738
2028,0,8,971795.4747
2028,0,9,668536.874
2028,1,1,395342.121
2028,1,10,599746.5164
2028,1,11,521026.5232
2028,1,12,488884.1751
2028,1,13,305132.8228
2028,1,14,220290.0647
2028,1,15,253588.4598
2028,1,16,292640.7577
2028,1,17,435356.4377
2028,1,18,1426150.783
2028,1,2,542764.6073
2028,1,3,326567.1789
2028,1,4,396147.6604
2028,1,5,940632.882
2028,1,6,1286606.103
2028,1,7,1284006.989
2028,1,8,933855.8997
2028,1,9,615025.1471
2029,0,1,417829.7905
2029,0,10,685845.4593
2029,0,11,613938.0685
2029,0,12,581192.907
2029,0,13,359871.9886
2029,0,14,241490.6549
2029,0,15,248052.2219
2029,0,16,217764.7845
2029,0,17,243193.3208
2029,0,18,489982.2091
2029,0,2,568856.8998
2029,0,3,340068.3943
2029,0,4,443213.6184
2029,0,5,965957.3017
2029,0,6,1261084.875
2029,0,7,1270244.738
2029,0,8,971795.4747
2029,0,9,668536.874
2029,1,1,395342.121
2029,1,10,599746.5164
2029,1,11,521026.5232
2029,1,12,488884.1751
2029,1,13,305132.8228
2029,1,14,220290.0647
2029,1,15,253588.4598
2029,1,16,292640.7577
2029,1,17,435356.4377
2029,1,18,1426150.783
2029,1,2,542764.6073
2029,1,3,326567.1789
2029,1,4,396147.6604
2029,1,5,940632.882
2029,1,6,1286606.103
2029,1,7,1284006.989
2029,1,8,933855.8997
2029,1,9,615025.1471
2030,0,1,417829.7905
2030,0,10,685845.4593
2030,0,11,613938.0685
2030,0,12,581192.907
2030,0,13,359871.9886
2030,0,14,241490.6549
2030,0,15,248052.2219
2030,0,16,217764.7845
2030,0,17,243193.3208
2030,0,18,489982.2091
2030,0,2,568856.8998
2030,0,3,340068.3943
2030,0,4,443213.6184
2030,0,5,965957.3017
2030,0,6,1261084.875
2030,0,7,1270244.738
2030,0,8,971795.4747
2030,0,9,668536.874
2030,1,1,395342.121
2030,1,10,599746.5164
2030,1,11,521026.5232
2030,1,12,488884.1751
2030,1,13,305132.8228
2030,1,14,220290.0647
2030,1,15,253588.4598
2030,1,16,292640.7577
2030,1,17,435356.4377
2030,1,18,1426150.783
2030,1,2,542764.6073
2030,1,3,326567.1789
2030,1,4,396147.6604
2030,1,5,940632.882
2030,1,6,1286606.103
2030,1,7,1284006.989
2030,1,8,933855.8997
2030,1,9,615025.1471
2031,0,1,414273.382
2031,0,10,617614.5217
2031,0,11,541894.34
2031,0,12,497829.95
2031,0,13,405480.2681
2031,0,14,263844.822
2031,0,15,261670.0392
2031,0,16,193167.4299
2031,0,17,209241.071
2031,0,18,606375.5213
2031,0,2,556267.9969
2031,0,3,296795.2496
2031,0,4,394638.4801
2031,0,5,925113.9858
2031,0,6,1216077.129
2031,0,7,1220251.367
2031,0,8,990402.9061
2031,0,9,644173.3727
2031,1,1,391971.3103
2031,1,10,534243.3294
2031,1,11,460968.3619
2031,1,12,418289.827
2031,1,13,340716.0221
2031,1,14,238897.3162
2031,1,15,264639.7974
2031,1,16,256320.5009
2031,1,17,370146.2998
2031,1,18,1680963.143
2031,1,2,530743.7221
2031,1,3,284458.7369
2031,1,4,353854.2621
2031,1,5,902739.8047
2031,1,6,1250011.989
2031,1,7,1230610.761
2031,1,8,950697.2358
2031,1,9,585625.3967
2032,0,1,414273.382
2032,0,10,617614.5217
2032,0,11,541894.34
2032,0,12,497829.95
2032,0,13,405480.2681
2032,0,14,263844.822
2032,0,15,261670.0392
2032,0,16,193167.4299
2032,0,17,209241.071
2032,0,18,606375.5213
2032,0,2,556267.9969
2032,0,3,296795.2496
2032,0,4,394638.4801
2032,0,5,925113.9858
2032,0,6,1216077.129
2032,0,7,1220251.367
2032,0,8,990402.9061
2032,0,9,644173.3727
2032,1,1,391971.3103
2032,1,10,534243.3294
2032,1,11,460968.3619
2032,1,12,418289.827
2032,1,13,340716.0221
2032,1,14,238897.3162
2032,1,15,264639.7974
2032,1,16,256320.5009
2032,1,17,370146.2998
2032,1,18,1680963.143
2032,1,2,530743.7221
2032,1,3,284458.7369
2032,1,4,353854.2621
2032,1,5,902739.8047
2032,1,6,1250011.989
2032,1,7,1230610.761
2032,1,8,950697.2358
2032,1,9,585625.3967
2033,0,1,414273.382
2033,0,10,617614.5217
2033,0,11,541894.34
2033,0,12,497829.95
2033,0,13,405480.2681
2033,0,14,263844.822
2033,0,15,261670.0392
2033,0,16,193167.4299
2033,0,17,209241.071
2033,0,18,606375.5213
2033,0,2,556267.9969
2033,0,3,296795.2496
2033,0,4,394638.4801
2033,0,5,925113.9858
2033,0,6,1216077.129
2033,0,7,1220251.367
2033,0,8,990402.9061
2033,0,9,644173.3727
2033,1,1,391971.3103
2033,1,10,534243.3294
2033,1,11,460968.3619
2033,1,12,418289.827
2033,1,13,340716.0221
2033,1,14,238897.3162
2033,1,15,264639.7974
2033,1,16,256320.5009
2033,1,17,370146.2998
2033,1,18,1680963.143
2033,1,2,530743.7221
2033,1,3,284458.7369
2033,1,4,353854.2621
2033,1,5,902739.8047
2033,1,6,1250011.989
2033,1,7,1230610.761
2033,1,8,950697.2358
2033,1,9,585625.3967
2034,0,1,414273.382
2034,0,10,617614.5217
2034,0,11,541894.34
2034,0,12,497829.95
2034,0,13,405480.2681
2034,0,14,263844.822
2034,0,15,261670.0392
2034,0,16,193167.4299
2034,0,17,209241.071
2034,0,18,606375.5213
2034,0,2,556267.9969
2034,0,3,296795.2496
