variable,mean,std
fnum_library,0.01,0.099598392
fnum_clinic,0.872,1.42255521
fnum_hospital,0.062,0.265135047
fnum_clinic_internal,0.634,1.105662235
fnum_hospital_internal,0.058,0.258398025
fnum_sygakko,0.142,0.382267258
fnum_chugakko,0.062,0.265135047
fnum_yochienkodomoen,0.092,0.315809232
min_dist2sta,2580.944241,2816.43215
dist2Utu,4695.008479,3445.400617
transit40farea_shop,576757.5138,352540.0578
car5farea_shop,272856.7102,239087.3057
